frame,timestamp,motion
4,0.067,0.007231
8,0.133,0.008302
12,0.2,0.006498
16,0.267,0.004495
20,0.334,0.005637
24,0.4,0.004259
28,0.467,0.003895
32,0.534,0.005061
36,0.601,0.004665
40,0.667,0.004331
44,0.734,0.006726
48,0.801,0.005501
52,0.868,0.004965
56,0.934,0.00644
60,1.001,0.003955
64,1.068,0.004493
68,1.134,0.004006
72,1.201,0.004383
76,1.268,0.004534
80,1.335,0.004042
84,1.401,0.0034
88,1.468,0.003984
92,1.535,0.003785
96,1.602,0.003073
100,1.668,0.003909
104,1.735,0.004352
108,1.802,0.004149
112,1.869,0.004093
116,1.935,0.003714
120,2.002,0.003215
124,2.069,0.003459
128,2.135,0.003294
132,2.202,0.003349
136,2.269,0.0037
140,2.336,0.00465
144,2.402,0.005746
148,2.469,0.007476
152,2.536,0.007898
156,2.603,0.008786
160,2.669,0.008678
164,2.736,0.008224
168,2.803,0.008538
172,2.87,0.008254
176,2.936,0.008734
180,3.003,0.006943
184,3.07,0.005384
188,3.136,0.00961
192,3.203,0.010748
196,3.27,0.009941
200,3.337,0.011179
204,3.403,0.012799
208,3.47,0.013254
212,3.537,0.011872
216,3.604,0.009689
220,3.67,0.006801
224,3.737,0.007193
228,3.804,0.005771
232,3.871,0.005384
236,3.937,0.006742
240,4.004,0.00727
244,4.071,0.007063
248,4.137,0.008549
252,4.204,0.009069
256,4.271,0.008617
260,4.338,0.009344
264,4.404,0.009471
268,4.471,0.009949
272,4.538,0.011506
276,4.605,0.013583
280,4.671,0.017384
284,4.738,0.02068
288,4.805,0.017479
292,4.872,0.014591
296,4.938,0.013139
300,5.005,0.01301
304,5.072,0.014283
308,5.138,0.017124
312,5.205,0.016962
316,5.272,0.015548
320,5.339,0.01361
324,5.405,0.013434
328,5.472,0.013664
332,5.539,0.015088
336,5.606,0.015956
340,5.672,0.019344
344,5.739,0.023891
348,5.806,0.024284
352,5.873,0.026492
356,5.939,0.028276
360,6.006,0.027657
364,6.073,0.025319
368,6.139,0.021755
372,6.206,0.024414
376,6.273,0.026345
380,6.34,0.025323
384,6.406,0.025296
388,6.473,0.025473
392,6.54,0.022873
396,6.607,0.022883
400,6.673,0.021593
404,6.74,0.016842
408,6.807,0.014143
412,6.874,0.01482
416,6.94,0.01569
420,7.007,0.017692
424,7.074,0.014887
428,7.14,0.011853
432,7.207,0.013895
436,7.274,0.013432
440,7.341,0.012205
444,7.407,0.011816
448,7.474,0.011881
452,7.541,0.01391
456,7.608,0.015619
460,7.674,0.013736
464,7.741,0.009704
468,7.808,0.009258
472,7.875,0.007573
476,7.941,0.006509
480,8.008,0.008993
484,8.075,0.008963
488,8.141,0.011729
492,8.208,0.011974
496,8.275,0.009642
500,8.342,0.008036
504,8.408,0.006573
508,8.475,0.005458
512,8.542,0.006852
516,8.609,0.007698
520,8.675,0.006569
524,8.742,0.00684
528,8.809,0.005668
532,8.876,0.004641
536,8.942,0.005595
540,9.009,0.004888
544,9.076,0.003825
548,9.142,0.00494
552,9.209,0.004744
556,9.276,0.003942
560,9.343,0.004668
564,9.409,0.004068
568,9.476,0.003
572,9.543,0.004568
576,9.61,0.004318
580,9.676,0.003473
584,9.743,0.00404
588,9.81,0.003708
592,9.877,0.003574
596,9.943,0.004677
600,10.01,0.004128
604,10.077,0.003546
608,10.143,0.004493
612,10.21,0.004102
616,10.277,0.004525
620,10.344,0.005529
624,10.41,0.005329
628,10.477,0.006309
632,10.544,0.00685
636,10.611,0.006252
640,10.677,0.005832
644,10.744,0.005883
648,10.811,0.004333
652,10.878,0.005228
656,10.944,0.006018
660,11.011,0.005097
664,11.078,0.005352
668,11.144,0.004771
672,11.211,0.003577
676,11.278,0.004744
680,11.345,0.004984
684,11.411,0.004066
688,11.478,0.00407
692,11.545,0.003779
696,11.612,0.003647
700,11.678,0.004533
704,11.745,0.004372
708,11.812,0.003768
712,11.879,0.003697
716,11.945,0.003707
720,12.012,0.006103
724,12.079,0.005814
728,12.145,0.004808
732,12.212,0.004912
736,12.279,0.005203
740,12.346,0.005086
744,12.412,0.005622
748,12.479,0.005346
752,12.546,0.004614
756,12.613,0.005301
760,12.679,0.005611
764,12.746,0.005387
768,12.813,0.00572
772,12.88,0.00503
776,12.946,0.004902
780,13.013,0.005514
784,13.08,0.003257
788,13.146,0.003585
792,13.213,0.003615
796,13.28,0.002771
800,13.347,0.003158
804,13.413,0.003629
808,13.48,0.002527
812,13.547,0.003949
816,13.614,0.004392
820,13.68,0.003717
824,13.747,0.004172
828,13.814,0.004636
832,13.881,0.003905
836,13.947,0.004693
840,14.014,0.004485
844,14.081,0.003469
