frame,timestamp,motion
4,0.067,0.015817
8,0.133,0.011585
12,0.2,0.006953
16,0.267,0.009021
20,0.333,0.005387
24,0.4,0.003624
28,0.467,0.002636
32,0.533,0.025434
36,0.6,0.074132
40,0.667,0.143729
44,0.733,0.173627
48,0.8,0.183852
52,0.867,0.153632
56,0.933,0.133576
60,1.0,0.111282
64,1.067,0.086797
68,1.133,0.118159
72,1.2,0.146952
76,1.267,0.168068
80,1.333,0.169295
84,1.4,0.147385
88,1.467,0.121419
92,1.533,0.089097
96,1.6,0.064558
100,1.667,0.042799
104,1.733,0.026515
108,1.8,0.019874
112,1.867,0.034513
116,1.933,0.037717
120,2.0,0.041171
124,2.067,0.039797
128,2.133,0.039835
132,2.2,0.041266
136,2.267,0.043722
140,2.333,0.045446
144,2.4,0.04762
148,2.467,0.035329
152,2.533,0.04299
156,2.6,0.055604
160,2.667,0.038657
164,2.733,0.039079
168,2.8,0.035393
172,2.867,0.033813
176,2.933,0.033573
180,3.0,0.031062
184,3.067,0.02836
188,3.133,0.032956
192,3.2,0.025126
196,3.267,0.029833
200,3.333,0.034215
204,3.4,0.02792
208,3.467,0.023466
212,3.533,0.032716
216,3.6,0.048219
220,3.667,0.029713
224,3.733,0.027997
228,3.8,0.026458
232,3.867,0.024987
236,3.933,0.023828
240,4.0,0.022637
244,4.067,0.023324
248,4.133,0.022572
252,4.2,0.021512
256,4.267,0.019602
260,4.333,0.018406
264,4.4,0.015458
268,4.467,0.012907
272,4.533,0.011829
276,4.6,0.014335
280,4.667,0.011331
284,4.733,0.007226
288,4.8,0.006493
292,4.867,0.006504
296,4.933,0.004493
300,5.0,0.00262
304,5.067,0.008044
308,5.133,0.002163
312,5.2,0.001071
316,5.267,0.000958
320,5.333,0.004247
324,5.4,0.000548
328,5.467,0.004822
332,5.533,0.000221
336,5.6,0.000979
340,5.667,0.001207
344,5.733,0.000398
348,5.8,0.001313
352,5.867,0.000798
356,5.933,0.001525
360,6.0,0.005821
364,6.067,0.027494
368,6.133,0.047733
372,6.2,0.047858
376,6.267,0.043622
380,6.333,0.05488
384,6.4,0.050465
388,6.467,0.031321
392,6.533,0.071023
396,6.6,0.101992
400,6.667,0.077474
404,6.733,0.038241
408,6.8,0.030843
412,6.867,0.03616
416,6.933,0.053236
420,7.0,0.047817
424,7.067,0.032792
428,7.133,0.025619
432,7.2,0.027673
436,7.267,0.026546
440,7.333,0.026384
444,7.4,0.019808
448,7.467,0.016693
452,7.533,0.010653
456,7.6,0.00813
460,7.667,0.006571
464,7.733,0.005113
468,7.8,0.006427
472,7.867,0.005073
476,7.933,0.004811
480,8.0,0.009249
484,8.067,0.004477
488,8.133,0.007371
492,8.2,0.001924
496,8.267,0.003316
500,8.333,0.001255
504,8.4,0.000715
508,8.467,0.005131
512,8.533,0.001142
516,8.6,0.000523
520,8.667,0.004991
524,8.733,0.000857
528,8.8,0.003847
532,8.867,0.000751
536,8.933,0.001914
540,9.0,0.001531
544,9.067,0.002521
548,9.133,0.000243
552,9.2,0.000642
556,9.267,0.001967
560,9.333,0.004812
564,9.4,0.000953
568,9.467,0.00044
572,9.533,0.001001
576,9.6,0.000829
580,9.667,0.000336
584,9.733,0.006727
588,9.8,0.009958
592,9.867,0.018999
596,9.933,0.030992
600,10.0,0.031255
604,10.067,0.039167
608,10.133,0.05922
612,10.2,0.050481
616,10.267,0.045768
620,10.333,0.044293
624,10.4,0.035888
628,10.467,0.04765
632,10.533,0.053208
636,10.6,0.055471
640,10.667,0.051201
644,10.733,0.049475
648,10.8,0.037173
652,10.867,0.029351
656,10.933,0.026894
660,11.0,0.027992
664,11.067,0.034748
668,11.133,0.028296
672,11.2,0.021958
676,11.267,0.023757
680,11.333,0.022472
684,11.4,0.016965
